fecha_extraccion,retailer,categoria,producto,precio_lista_crc,precio_oferta_crc,descuento_pct,presentacion_ml,url_fuente,tipo_extraccion,precio_final_crc,producto_normalizado,retailer_normalizado,precio_equivalente_750ml_crc,segmento_precio,tipo_cambio_compra_usd,tipo_cambio_venta_usd
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Santa Carolina Cabernet Sauvignon -1500 ml,6935.0,,0,1500.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,6935.0,vino tinto santa carolina cabernet sauvignon -1500 ml,walmart costa rica,3467.5,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Pata Negra Valdepenas Crianza - 750 ml,5387.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,5387.0,vino pata negra valdepenas crianza - 750 ml,walmart costa rica,5387.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Tarapacá Pinot Grigio - 750 ml,4902.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,4902.0,vino blanco tarapacá pinot grigio - 750 ml,walmart costa rica,4902.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tarapacá Tinto Merlot - 750 ml,5387.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,5387.0,vino tarapacá tinto merlot - 750 ml,walmart costa rica,5387.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Trapiche Vineyards Malbec - 750 ml,4750.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,4750.0,vino tinto trapiche vineyards malbec - 750 ml,walmart costa rica,4750.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino tinto Manischewitz de uva botella de vidrio - 750 ml,5168.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,5168.0,vino tinto manischewitz de uva botella de vidrio - 750 ml,walmart costa rica,5168.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Marquez De Riscal reserva rioja - 750 ml,13775.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,13775.0,vino marquez de riscal reserva rioja - 750 ml,walmart costa rica,13775.0,premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Luigi Bosca Malbec - 750 ml,11500.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,11500.0,vino tinto luigi bosca malbec - 750 ml,walmart costa rica,11500.0,premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Bco Sta Julia Dulc Chenin 750mlx6,4500.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,4500.0,vino bco sta julia dulc chenin 750mlx6,walmart costa rica,4500.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Champagne Veuve Clicquot brut - 750 ml,41370.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,41370.0,champagne veuve clicquot brut - 750 ml,walmart costa rica,41370.0,super premium,446.61,451.08
